Mileage;Price;PowerPs;Owners;HuTest;FirstRegistration;Color;Automatic;CubicCapacity;EmptyWeight
10330;8890;163;0;22;2006;0;2;1.796;0
70000;8500;193;1;0;1999;0;2;2.295;1.325
115127;7950;163;1;22;2004;3;2;1.796;1.39
199000;7950;163;2;23;2006;1;2;1.796;1.39
189000;6900;197;3;23;2000;3;1;2.295;1.385
233000;6900;163;4;0;2005;3;1;1.796;1.415
127000;5990;163;2;0;2003;0;1;1.998;1.365
149000;5990;163;0;0;2002;0;1;1.998;0
182000;5000;193;2;22;1997;4;2;2.295;1.325
200009;5000;197;0;23;2003;0;2;2.295;1.385
190000;4450;197;3;0;2002;0;1;2.295;0
178000;4450;163;4;23;2001;3;1;1.998;1.365
184200;3950;163;2;23;2003;3;2;1.998;1.365
200000;3500;197;6;0;2000;0;2;2.295;1.385
203800;2850;136;0;22;1999;4;2;1.998;0
264250;2600;193;5;0;1998;7;1;2.295;1.325
264250;2600;193;5;0;1998;7;1;2.295;1.325
222000;1999;163;0;22;2002;3;2;1.998;1.365
207472;1450;163;7;21;2000;5;2;1.998;1.365
167964;1399;193;4;19;1998;6;2;2.295;1.325
217000;1000;193;2;21;1999;4;2;2.295;1.325
187354;990;136;2;21;1998;0;2;1.998;0
